ts_bucket,trigger_minute,timeframe,predicted_trend,truth_trend,direction_is_match,predicted_support,predicted_resistance,range_tolerance_pct,range_tolerance_abs,support_error_abs,resistance_error_abs,support_within_tolerance,resistance_within_tolerance,range_is_match,horizon_minutes,expected_bars,actual_bars,missing_bars,missing_start_time,truth_support,truth_resistance,path_state,start_open,end_close,max_high,min_low,close_return_bps,close_return_pct,max_up_bps,max_up_pct,max_down_bps,max_down_pct,up_breach_time,down_breach_time,complete_window
2026-03-17T17:30:00+00:00,30,1d,Bullish,,False,2292.57,2385.78,1.0,,,,False,False,False,1440,1440,563,877,2026-03-18T02:53:00+00:00,,,incomplete,,,,,,,,,,,,,False
2026-03-17T17:45:00+00:00,45,15m,Sideways,Bullish,False,2324.57,2340.95,1.0,23.323000000000004,6.429999999999836,0.8800000000001091,True,True,True,15,15,15,0,,2331.0,2341.83,close_up,2332.3,2338.93,2341.83,2331.0,28.42687475882011,0.2842687475882011,40.86095270762647,0.4086095270762647,-5.5738970115348785,-0.055738970115348785,2026-03-17T17:50:00+00:00,,True
2026-03-17T17:45:00+00:00,45,4h,Sideways,Sideways,True,2311.07,2356.66,1.0,23.323000000000004,4.539999999999964,11.659999999999854,True,True,True,240,240,240,0,,2315.61,2345.0,up_then_down,2332.3,2337.78,2345.0,2315.61,23.49611971015797,0.2349611971015797,54.45268618959665,0.5445268618959664,-71.56026240192071,-0.715602624019207,2026-03-17T17:50:00+00:00,2026-03-17T19:42:00+00:00,True
2026-03-17T17:45:00+00:00,45,1d,Bullish,,False,2292.57,2385.61,1.0,,,,False,False,False,1440,1440,548,892,2026-03-18T02:53:00+00:00,,,incomplete,,,,,,,,,,,,,False
2026-03-17T18:00:00+00:00,0,15m,Sideways,Sideways,True,2330.37,2344.49,1.0,23.3893,4.9900000000002365,2.8299999999999272,True,True,True,15,15,15,0,,2335.36,2341.66,no_material_break,2338.93,2337.06,2341.66,2335.36,-7.9951088745700005,-0.0799510887457,11.672003865015323,0.11672003865015323,-15.263389669634142,-0.15263389669634142,,,True
2026-03-17T18:00:00+00:00,0,4h,Bullish,Sideways,False,2311.07,2356.66,1.0,23.3893,4.539999999999964,11.659999999999854,True,True,True,240,240,240,0,,2315.61,2345.0,down_then_up,2338.93,2337.16,2345.0,2315.61,-7.567562945449691,-0.0756756294544969,25.952037897671865,0.25952037897671865,-99.70371067111739,-0.997037106711174,2026-03-17T21:13:00+00:00,2026-03-17T18:24:00+00:00,True
2026-03-17T18:00:00+00:00,0,1d,Bullish,,False,2292.57,2385.42,1.0,,,,False,False,False,1440,1440,533,907,2026-03-18T02:53:00+00:00,,,incomplete,,,,,,,,,,,,,False
2026-03-17T18:15:00+00:00,15,15m,Bearish,Bearish,True,2329.8,2343.9,1.0,23.3706,0.4399999999995998,4.079999999999927,True,True,True,15,15,15,0,,2330.24,2339.82,down_only,2337.06,2331.81,2339.82,2330.24,-22.464121588662287,-0.22464121588662286,11.809709635184351,0.11809709635184351,-29.181963663749144,-0.29181963663749144,,2026-03-17T18:25:00+00:00,True
2026-03-17T18:15:00+00:00,15,4h,Sideways,Sideways,True,2303.0,2356.7,1.0,23.3706,12.610000000000127,11.699999999999818,True,True,True,240,240,240,0,,2315.61,2345.0,down_then_up,2337.06,2332.14,2345.0,2315.61,-21.05209108880457,-0.2105209108880457,33.974309602662345,0.33974309602662345,-91.7819824908206,-0.9178198249082059,2026-03-17T21:13:00+00:00,2026-03-17T18:25:00+00:00,True
2026-03-17T18:15:00+00:00,15,1d,Bullish,,False,2305.0,2385.8,1.0,,,,False,False,False,1440,1440,518,922,2026-03-18T02:53:00+00:00,,,incomplete,,,,,,,,,,,,,False
2026-03-17T18:30:00+00:00,30,15m,Sideways,Bullish,False,2330.24,2341.66,1.0,23.318,1.0400000000004184,1.199999999999818,True,True,True,15,15,15,0,,2331.28,2340.46,up_only,2331.8,2335.92,2340.46,2331.28,17.66875375246446,0.1766875375246446,37.13869113989077,0.37138691139890767,-2.230036881378794,-0.02230036881378794,2026-03-17T18:31:00+00:00,,True
2026-03-17T18:30:00+00:00,30,4h,Bullish,Sideways,False,2311.07,2356.66,1.0,23.318,4.539999999999964,11.659999999999854,True,True,True,240,240,240,0,,2315.61,2345.0,up_then_down,2331.8,2327.55,2345.0,2315.61,-18.226262972810268,-0.18226262972810267,56.60862852731707,0.5660862852731707,-69.43134059524847,-0.6943134059524847,2026-03-17T18:31:00+00:00,2026-03-17T19:42:00+00:00,True
2026-03-17T18:30:00+00:00,30,1d,Bullish,,False,2305.76,2377.0,1.0,,,,False,False,False,1440,1440,503,937,2026-03-18T02:53:00+00:00,,,incomplete,,,,,,,,,,,,,False
